academica;pt 0 Q243235 3
pepe;pt 0 Q54858384 1
ponte_preta;br 0 Q219120 3
portimonense;pt 0 Q621120 3
porto;br 0 Q128446 3
porto;pt 0 Q128446 3
portuguesa;br 0 Q204675 3
premier;pt 0 Q9448 3
premier_league;pt 0 Q9448 3
psg;pt 0 Q483020 3
psv;pt 0 Q11938 3
quaresma;pt 0 Q188241 3
raphinha;br 0 Q28861547 3
raphinha;pt 0 Q28861547 3
real;pt 0 Q8682 2
real_madrid;br 0 Q8682 3
real_madrid;pt 0 Q8682 3
remo;br 0 Q2552872 3
ricardo_velho;pt 0 Q38182359 3
rio;pt 0 Q622432 3
rio_ave;pt 0 Q622432 3
river;br 0 Q15799 2
river;br 0 Q3458836 1
rodri;pt 0 Q20994118 3
roma;br 0 Q2739 3
roma;pt 0 Q2739 3
romario;br 0 Q178649 3
romario;pt 0 Q178649 3
ronaldinho;pt 0 Q39444 3
ronaldo;br 0 Q529207 2
ronaldo;br 0 Q11571 1
ronaldo;pt 0 Q11571 3
ruben;pt 0 Q368682 2
ruben_amorim;pt 0 Q368682 2
rui_borges;pt 0 Q121147850 3
rui_silva;pt 0 Q16236537 3
salah;br 0 Q1354960 3
salah;pt 0 Q1354960 3
salgueiros;pt 0 Q1754163 3
santa;pt 0 Q740637 3
santa_clara;pt 0 Q740637 3
santos;br 0 Q80955 3
santos;pt 0 Q80955 3
sao;br 0 Q38568 3
sao_jose;br 0 Q2508225 1
sao_paulo;br 0 Q38568 3
sao_paulo;pt 0 Q38568 3
sc_braga;pt 0 Q75684 3
sergio;pt 0 Q317298 1
sergio_conceicao;pt 0 Q317298 1
serie_a;pt 0 Q15804 3
sesimbra;pt 0 Q2474559 3
setubal;pt 0 Q208585 3
spo;pt 0 Q75729 3
spor;pt 0 Q75729 3
sport;br 0 Q219098 3
sport;pt 0 Q75729 3
sporting;br 0 Q75729 3
sporting;pt 0 Q75729 3
taca;pt 0 Q29224 3
taca_de_portugal;pt 0 Q29224 3
tondela;pt 0 Q1023227 3
trincao;pt 0 Q24084271 3
trofense;pt 0 Q1023233 3
unidos;pt 0 Q1023552 3
united;pt 0 Q18656 3
valencia;pt 0 Q10333 3
varzim;pt 0 Q1429473 3
vasco;br 0 Q5014111 3
vasco;pt 0 Q5014111 3
vila_nova;br 0 Q1513287 3
vilafranquense;pt 0 Q3551877 3
vini;br 0 Q28973866 3
vini;pt 0 Q28973866 3
viseu;pt 0 Q2410944 3
vitinha;pt 0 Q66818509 2
vitinha;pt 0 Q106200290 1
vito;pt 0 Q223450 2
vito;pt 0 Q208585 1
vitor_pereira;pt 0 Q556610 3
vitoria;br 0 Q274465 3
vitoria;pt 0 Q223450 2
vitoria;pt 0 Q208585 1
vitoria_sc;pt 0 Q223450 3
vizela;pt 0 Q1387855 3
wolves;pt 0 Q19500 3
